@relation 'trainwseap-weka.filters.unsupervised.attribute.Remove-R4-5,8,10,15'

@attribute polarity {P,NONE,N,NEU,P+,N+}
@attribute confidence numeric
@attribute joy numeric
@attribute isIronic {False,True}
@attribute sadness numeric
@attribute isSubjective {True,False}
@attribute isAgreement {True,False}
@attribute anger numeric
@attribute surprise numeric
@attribute fear numeric
@attribute class {Bot,Human}

@data
NONE,100,0.066421,False,0.226144,False,True,0.291083,0.231956,0.184396,Bot
P,100,0.065118,False,0.390918,False,True,0.253813,0.087671,0.202481,Bot
P,100,0.209689,False,0.12553,True,True,0.118606,0.37933,0.166845,Bot
NONE,100,0.186185,False,0.109084,False,True,0.108037,0.022289,0.574405,Bot
P,100,0.170542,False,0.375861,True,True,0.130265,0.27022,0.053112,Bot
P+,100,0.26519,False,0.335286,True,True,0.11836,0.177294,0.103871,Bot
NONE,100,0.214697,False,0.141542,False,True,0.125297,0.332317,0.186146,Bot
P+,100,0.306419,False,0.049344,True,True,0.045311,0.549459,0.049466,Bot
NONE,100,0.212486,False,0.159222,False,True,0.186567,0.219347,0.222378,Bot
P+,100,0.346732,False,0.300427,False,True,0.128045,0.051039,0.173757,Bot
P,100,0.205368,False,0.209073,False,True,0.082494,0.251811,0.251253,Bot
NONE,100,0.243679,False,0.269021,False,True,0.164605,0.097445,0.225249,Bot
P,100,0.258822,False,0.280587,True,True,0.18794,0.143469,0.129182,Bot
N,100,0.030386,False,0.359455,True,True,0.383683,0.01736,0.209116,Bot
NONE,100,0.192946,False,0.164956,False,True,0.142407,0.282531,0.21716,Bot
P,100,0.194196,False,0.110647,True,True,0.115747,0.446381,0.133029,Bot
P+,90,0.093274,False,0.569433,True,True,0.110758,0.135962,0.090573,Bot
N,97,0.090524,False,0.586446,True,True,0.133274,0.101261,0.088496,Bot
NONE,100,0.163456,False,0.123362,False,True,0.34123,0.05797,0.313982,Bot
P,100,0.247828,False,0.273556,True,True,0.181408,0.039661,0.257547,Bot
NONE,100,0.022658,False,0.401943,False,True,0.088829,0.004656,0.481914,Bot
P,100,0.266823,False,0.249047,True,True,0.156617,0.161655,0.165857,Bot
P,94,0.036944,False,0.303463,False,False,0.132206,0.016612,0.510776,Bot
N,92,0.024347,False,0.238512,False,True,0.608303,0.019398,0.109439,Bot
N,100,0.135424,False,0.382368,False,True,0.086515,0.012856,0.382837,Bot
P,94,0.053599,False,0.169725,False,False,0.061606,0.667466,0.047605,Bot
NONE,100,0.433559,False,0.150501,False,True,0.026472,0.339128,0.050339,Bot
NONE,100,0.317079,False,0.201842,False,True,0.175647,0.244796,0.060637,Bot
P,100,0.151817,False,0.205047,False,True,0.188528,0.277532,0.177076,Bot
N,100,0.079567,False,0.398848,False,True,0.198737,0.019438,0.30341,Bot
N+,100,0.023174,False,0.179843,True,True,0.679072,0.082364,0.035547,Bot
P,97,0.043264,False,0.386999,True,True,0.395887,0.066166,0.107684,Bot
P+,100,0.126486,False,0.379459,False,True,0.271336,0.111145,0.111574,Bot
N,100,0.447661,False,0.114283,True,True,0.030822,0.257956,0.149278,Bot
N,100,0.047883,False,0.380867,False,True,0.210076,0.091473,0.269702,Bot
NONE,100,0.289982,False,0.252493,False,True,0.116062,0.19788,0.143583,Bot
NONE,100,0.25377,False,0.240413,False,True,0.238728,0.049693,0.217395,Bot
NONE,100,0.159983,False,0.275958,False,True,0.249117,0.163709,0.151233,Bot
P,100,0.182301,False,0.154217,True,True,0.170082,0.298054,0.195347,Bot
P+,100,0.136335,False,0.055152,False,True,0.012602,0.773935,0.021976,Bot
NONE,100,0.208585,False,0.084266,False,True,0.089302,0.434742,0.183105,Bot
P,100,0.076283,False,0.165259,False,True,0.504156,0.125411,0.128892,Bot
NONE,100,0.155701,False,0.149269,True,True,0.12606,0.405535,0.163435,Bot
