@relation 'trainwsae-weka.filters.unsupervised.attribute.Remove-R1-3,5,8-9'

@attribute sadness numeric
@attribute class {Bot,Human}
@attribute fear numeric
@attribute anger numeric
@attribute surprise numeric
@attribute joy numeric

@data
0.386999,Bot,0.107684,0.395887,0.066166,0.043264
0.379459,Bot,0.111574,0.271336,0.111145,0.126486
0.114283,Bot,0.149278,0.030822,0.257956,0.447661
0.380867,Bot,0.269702,0.210076,0.091473,0.047883
0.252493,Bot,0.143583,0.116062,0.19788,0.289982
0.240413,Bot,0.217395,0.238728,0.049693,0.25377
0.275958,Bot,0.151233,0.249117,0.163709,0.159983
0.154217,Bot,0.195347,0.170082,0.298054,0.182301
0.055152,Bot,0.021976,0.012602,0.773935,0.136335
0.084266,Bot,0.183105,0.089302,0.434742,0.208585
0.165259,Bot,0.128892,0.504156,0.125411,0.076283
0.149269,Bot,0.163435,0.12606,0.405535,0.155701
0.164956,Bot,0.21716,0.142407,0.282531,0.192946
0.149269,Bot,0.163435,0.12606,0.405535,0.155701
0.471135,Bot,0.302309,0.12108,0.016105,0.089372
0.091631,Bot,0.069754,0.02909,0.054057,0.755467
0.309575,Bot,0.114527,0.103002,0.377522,0.095374
0.45801,Bot,0.044633,0.292454,0.156331,0.048572
0.296719,Bot,0.049859,0.505931,0.100015,0.047477
0.347084,Bot,0.09539,0.06999,0.20871,0.278826
0.153782,Bot,0.058419,0.041777,0.411706,0.334316
0.23999,Bot,0.366764,0.179311,0.058764,0.155172
0.077748,Bot,0.55335,0.027678,0.014708,0.326516
0.35999,Bot,0.110972,0.172248,0.077244,0.279546
0.111016,Bot,0.151501,0.099362,0.372321,0.2658
0.154217,Bot,0.195347,0.170082,0.298054,0.182301
0.144006,Bot,0.152595,0.171302,0.322785,0.209312
0.63145,Bot,0.037448,0.066728,0.175134,0.089241
0.16011,Bot,0.357977,0.109227,0.077799,0.294887
0.180203,Bot,0.446705,0.222796,0.104107,0.046189
0.239906,Bot,0.53681,0.091422,0.006979,0.124882
0.245209,Bot,0.153687,0.207053,0.100399,0.293651
0.14025,Bot,0.415748,0.278409,0.072988,0.092606
0.349017,Bot,0.154887,0.396459,0.034053,0.065584
0.353518,Bot,0.160082,0.379084,0.024366,0.08295
0.144006,Bot,0.152595,0.171302,0.322785,0.209312
0.627727,Bot,0.086338,0.133241,0.050839,0.101856
0.526207,Bot,0.077289,0.044551,0.244356,0.107597
0.480575,Bot,0.071485,0.246844,0.105393,0.095702
0.242135,Bot,0.160378,0.473437,0.034943,0.089107
0.079043,Bot,0.028743,0.021622,0.454603,0.415989
0.272708,Bot,0.428806,0.086384,0.015399,0.196703
0.009715,Bot,0.044543,0.00705,0.126582,0.812111
0.207972,Bot,0.289721,0.254292,0.130738,0.117277
0.159085,Bot,0.082596,0.072573,0.528456,0.157289
0.828734,Bot,0.092686,0.065976,0.001193,0.011412
0.096229,Bot,0.68772,0.102575,0.013238,0.100238
0.149156,Bot,0.105533,0.538973,0.148012,0.058325
0.164956,Bot,0.21716,0.142407,0.282531,0.192946
0.412924,Bot,0.057395,0.474149,0.008563,0.046969
0.007825,Bot,0.019741,0.003216,0.159722,0.809497
0.33025,Bot,0.065348,0.08883,0.131377,0.384194
0.021792,Bot,0.008848,0.002095,0.46704,0.500225
0.112487,Bot,0.187142,0.132663,0.341542,0.226167
0.376536,Bot,0.139549,0.112215,0.15059,0.221111
0.114239,Bot,0.395777,0.277505,0.071072,0.141407
0.187505,Bot,0.27836,0.466067,0.00929,0.058777
0.212841,Bot,0.100295,0.029647,0.208344,0.448874
0.048368,Bot,0.769309,0.054214,0.025721,0.102388
0.49283,Bot,0.117514,0.164948,0.163025,0.061683
0.815117,Bot,0.055805,0.116586,0.004658,0.007834
0.113977,Bot,0.571757,0.246235,0.034475,0.033557
0.291251,Bot,0.15462,0.220067,0.066294,0.267767
0.222767,Bot,0.031298,0.683029,0.028246,0.034659
0.172798,Bot,0.246459,0.161633,0.30617,0.11294
0.704137,Bot,0.027464,0.183608,0.032796,0.051996
0.268457,Bot,0.151821,0.178222,0.222832,0.178667
0.101107,Bot,0.505939,0.038644,0.044003,0.310307
0.326716,Bot,0.079166,0.348056,0.120763,0.125299
0.159341,Bot,0.230772,0.150135,0.278866,0.180885
0.208442,Bot,0.144373,0.134761,0.290218,0.222206
0.380174,Bot,0.199973,0.124144,0.076107,0.219602
0.483068,Bot,0.1744,0.218482,0.0696,0.05445
0.332223,Bot,0.08499,0.051652,0.09333,0.437805
0.144006,Bot,0.152595,0.171302,0.322785,0.209312
0.261768,Bot,0.10635,0.370632,0.155366,0.105885
0.465272,Bot,0.241569,0.107614,0.040026,0.145519
0.235225,Bot,0.41774,0.231775,0.08795,0.02731
0.238068,Bot,0.287757,0.18353,0.052935,0.23771
0.246412,Bot,0.168868,0.160237,0.083653,0.34083
0.122272,Bot,0.061228,0.019371,0.080724,0.716404
0.515926,Bot,0.162244,0.286782,0.011143,0.023905
0.495543,Bot,0.217385,0.219353,0.028746,0.038973
0.420173,Bot,0.095533,0.410859,0.031382,0.042054
0.260137,Bot,0.360854,0.159182,0.062652,0.157174
0.092257,Bot,0.112377,0.12739,0.289481,0.378495
0.351012,Bot,0.230379,0.284512,0.096368,0.037728
0.424042,Bot,0.218488,0.331614,0.003282,0.022574
0.525886,Bot,0.09871,0.301726,0.040856,0.032823
0.460507,Bot,0.145881,0.302609,0.020175,0.070828
0.068138,Bot,0.020366,0.907511,0.000988,0.002997
0.09181,Bot,0.075464,0.021829,0.125424,0.685473
0.140529,Bot,0.712593,0.026028,0.034444,0.086406
0.150095,Bot,0.219536,0.148592,0.280323,0.201453
0.204898,Bot,0.326172,0.1889,0.136052,0.143978
0.468001,Bot,0.147866,0.363299,0.006035,0.014799
0.046427,Bot,0.870879,0.038424,0.01454,0.02973
0.401668,Bot,0.174512,0.075253,0.222938,0.12563
0.154217,Bot,0.195347,0.170082,0.298054,0.182301
0.092673,Bot,0.17813,0.074907,0.324683,0.329606
0.122535,Bot,0.455365,0.300698,0.053313,0.068088
0.400333,Bot,0.308334,0.188247,0.010474,0.092611
0.333009,Bot,0.40393,0.193048,0.018616,0.051398
0.288948,Bot,0.199055,0.203555,0.064625,0.243816
0.712387,Bot,0.175563,0.09411,0.006534,0.011407
0.489597,Bot,0.094859,0.354848,0.036867,0.023829
0.270497,Bot,0.093125,0.611857,0.015732,0.00879
0.397874,Bot,0.109354,0.095985,0.182037,0.21475
0.155995,Bot,0.177267,0.116073,0.362454,0.188211
0.271513,Bot,0.345539,0.10317,0.054319,0.22546
0.530663,Bot,0.061665,0.298115,0.020024,0.089532
0.376528,Bot,0.152467,0.24361,0.115234,0.112161
0.278912,Bot,0.092659,0.100013,0.425162,0.103255
0.295682,Bot,0.109492,0.179257,0.313803,0.101766
0.414486,Bot,0.176231,0.351793,0.012889,0.044602
0.578658,Bot,0.073122,0.190584,0.022703,0.134933
0.43979,Bot,0.202854,0.252413,0.019191,0.085753
0.226845,Bot,0.375663,0.080074,0.158738,0.15868
0.294017,Bot,0.011387,0.03563,0.596441,0.062524
0.215947,Bot,0.145906,0.190697,0.206155,0.241296
0.291972,Bot,0.302895,0.225771,0.055803,0.123559
0.185071,Bot,0.413725,0.237273,0.063043,0.100887
0.12553,Bot,0.166845,0.118606,0.37933,0.209689
0.087501,Bot,0.101643,0.110882,0.07638,0.623593
0.163975,Bot,0.282156,0.112021,0.30752,0.134328
0.123495,Bot,0.594744,0.056938,0.200651,0.024172
0.347888,Bot,0.077189,0.213334,0.178844,0.182745
0.31976,Bot,0.173417,0.273698,0.019843,0.213282
0.18019,Bot,0.147888,0.171698,0.372752,0.127472
0.24931,Bot,0.636279,0.080686,0.003822,0.029903
0.15096,Bot,0.167554,0.100017,0.355236,0.226234
0.395425,Bot,0.092147,0.132348,0.060048,0.320032
0.203148,Bot,0.294228,0.304919,0.13075,0.066954
0.376528,Bot,0.152467,0.24361,0.115234,0.112161
0.235701,Bot,0.41882,0.240082,0.017587,0.08781
0.469535,Bot,0.162071,0.198138,0.03479,0.135466
0.176774,Bot,0.223635,0.158335,0.243171,0.198085
