@relation 'trainwseap-weka.filters.unsupervised.attribute.Remove-R1-2,4,6,9,11'

@attribute joy numeric
@attribute extraversion numeric
@attribute sadness numeric
@attribute agreeableness numeric
@attribute conscientiousness numeric
@attribute anger numeric
@attribute surprise numeric
@attribute fear numeric
@attribute openness numeric
@attribute class {Bot,Human}

@data
0.113801,0.449993,0.113484,0.531619,0.511125,0.192315,0.014297,0.566103,0.388341,Bot
0.022988,0.564914,0.337634,0.539627,0.44274,0.21149,0.265382,0.162506,0.504866,Bot
0.079382,0.491579,0.384233,0.502085,0.479013,0.287331,0.098472,0.150582,0.591075,Bot
0.283886,0.473817,0.072802,0.528939,0.491015,0.087616,0.444139,0.111558,0.532702,Bot
0.043351,0.539668,0.363856,0.573884,0.467967,0.088337,0.327616,0.176841,0.492678,Bot
0.495805,0.500893,0.306067,0.533127,0.477467,0.097422,0.027509,0.073196,0.550195,Bot
0.058408,0.483799,0.216512,0.430316,0.466854,0.258939,0.120585,0.345556,0.667325,Bot
0.20259,0.575494,0.136551,0.596561,0.427454,0.134856,0.245041,0.280962,0.590324,Bot
0.306419,0.521892,0.049344,0.527263,0.494337,0.045311,0.549459,0.049466,0.435066,Bot
0.130288,0.579052,0.377994,0.528883,0.460308,0.244086,0.049301,0.198331,0.510882,Bot
0.269042,0.461375,0.093334,0.638003,0.577867,0.10515,0.442769,0.089705,0.46856,Bot
0.039286,0.613931,0.37551,0.643748,0.488519,0.409845,0.057958,0.117401,0.42133,Bot
0.058448,0.445165,0.391142,0.444129,0.526276,0.33732,0.032748,0.180342,0.623773,Bot
0.031363,0.439306,0.520804,0.494642,0.509305,0.146109,0.008607,0.293118,0.516697,Bot
0.066421,0.515033,0.226144,0.419438,0.489497,0.291083,0.231956,0.184396,0.685384,Bot
0.065118,0.552857,0.390918,0.459123,0.441766,0.253813,0.087671,0.202481,0.503092,Bot
0.209689,0.481997,0.12553,0.499211,0.479122,0.118606,0.37933,0.166845,0.574803,Bot
0.186185,0.439268,0.109084,0.423624,0.543865,0.108037,0.022289,0.574405,0.487486,Bot
0.170542,0.58302,0.375861,0.504871,0.540379,0.130265,0.27022,0.053112,0.506063,Bot
0.26519,0.559692,0.335286,0.523015,0.465413,0.11836,0.177294,0.103871,0.546229,Bot
0.214697,0.47711,0.141542,0.435012,0.440678,0.125297,0.332317,0.186146,0.551646,Bot
0.306419,0.521892,0.049344,0.527263,0.494337,0.045311,0.549459,0.049466,0.435066,Bot
0.212486,0.465126,0.159222,0.434145,0.527903,0.186567,0.219347,0.222378,0.390752,Bot
0.346732,0.50705,0.300427,0.449209,0.50453,0.128045,0.051039,0.173757,0.554681,Bot
0.205368,0.47767,0.209073,0.538027,0.4676,0.082494,0.251811,0.251253,0.481004,Bot
0.243679,0.591009,0.269021,0.410713,0.514169,0.164605,0.097445,0.225249,0.329786,Bot
0.258822,0.683159,0.280587,0.628538,0.429065,0.18794,0.143469,0.129182,0.451183,Bot
0.030386,0.394217,0.359455,0.409296,0.48045,0.383683,0.01736,0.209116,0.673949,Bot
0.192946,0.721287,0.164956,0.625844,0.400102,0.142407,0.282531,0.21716,0.605858,Bot
0.194196,0.46842,0.110647,0.516501,0.481017,0.115747,0.446381,0.133029,0.568225,Bot
0.093274,0.519427,0.569433,0.459447,0.442421,0.110758,0.135962,0.090573,0.60343,Bot
0.090524,0.412615,0.586446,0.404395,0.502007,0.133274,0.101261,0.088496,0.663317,Bot
0.163456,0.474243,0.123362,0.521623,0.52233,0.34123,0.05797,0.313982,0.486626,Bot
0.247828,0.536369,0.273556,0.70282,0.474089,0.181408,0.039661,0.257547,0.45834,Bot
0.022658,0.36076,0.401943,0.381051,0.5426,0.088829,0.004656,0.481914,0.511463,Bot
0.266823,0.469752,0.249047,0.590958,0.520517,0.156617,0.161655,0.165857,0.485133,Bot
0.036944,0.498841,0.303463,0.475765,0.490268,0.132206,0.016612,0.510776,0.529939,Bot
0.024347,0.493993,0.238512,0.567066,0.492614,0.608303,0.019398,0.109439,0.471177,Bot
0.135424,0.526289,0.382368,0.500078,0.394407,0.086515,0.012856,0.382837,0.596371,Bot
0.053599,0.47397,0.169725,0.45469,0.519405,0.061606,0.667466,0.047605,0.501804,Bot
0.433559,0.386656,0.150501,0.486948,0.459063,0.026472,0.339128,0.050339,0.707751,Bot
0.317079,0.554096,0.201842,0.517596,0.496136,0.175647,0.244796,0.060637,0.393769,Bot
0.151817,0.466742,0.205047,0.393403,0.46986,0.188528,0.277532,0.177076,0.508041,Bot
0.079567,0.551457,0.398848,0.454865,0.440807,0.198737,0.019438,0.30341,0.587285,Bot
0.023174,0.546051,0.179843,0.524472,0.461424,0.679072,0.082364,0.035547,0.492495,Bot
0.043264,0.557938,0.386999,0.499811,0.494917,0.395887,0.066166,0.107684,0.466774,Bot
0.126486,0.406837,0.379459,0.459493,0.507021,0.271336,0.111145,0.111574,0.540065,Bot
0.447661,0.419735,0.114283,0.495243,0.560077,0.030822,0.257956,0.149278,0.555718,Bot
0.047883,0.502264,0.380867,0.52873,0.446914,0.210076,0.091473,0.269702,0.67079,Bot
0.289982,0.341134,0.252493,0.444966,0.513307,0.116062,0.19788,0.143583,0.508704,Bot
0.25377,0.463658,0.240413,0.423311,0.534328,0.238728,0.049693,0.217395,0.491174,Bot
0.159983,0.594385,0.275958,0.62727,0.433913,0.249117,0.163709,0.151233,0.486345,Bot
0.182301,0.553188,0.154217,0.588442,0.448826,0.170082,0.298054,0.195347,0.521442,Bot
0.136335,0.543497,0.055152,0.54778,0.489279,0.012602,0.773935,0.021976,0.5107,Bot
0.208585,0.367451,0.084266,0.530106,0.508356,0.089302,0.434742,0.183105,0.394275,Bot
0.076283,0.569455,0.165259,0.453395,0.432226,0.504156,0.125411,0.128892,0.564133,Bot
0.155701,0.526976,0.149269,0.48437,0.508707,0.12606,0.405535,0.163435,0.515284,Bot
0.192946,0.721287,0.164956,0.625844,0.400102,0.142407,0.282531,0.21716,0.605858,Bot
0.155701,0.526976,0.149269,0.48437,0.508707,0.12606,0.405535,0.163435,0.515284,Bot
0.089372,0.470838,0.471135,0.484799,0.51273,0.12108,0.016105,0.302309,0.518956,Bot
0.755467,0.618982,0.091631,0.554024,0.516465,0.02909,0.054057,0.069754,0.405508,Bot
0.095374,0.501943,0.309575,0.531833,0.43598,0.103002,0.377522,0.114527,0.586454,Bot
0.048572,0.41035,0.45801,0.521679,0.565131,0.292454,0.156331,0.044633,0.266188,Bot
0.047477,0.655704,0.296719,0.502917,0.536098,0.505931,0.100015,0.049859,0.439106,Bot
0.278826,0.555573,0.347084,0.583077,0.462984,0.06999,0.20871,0.09539,0.495779,Bot
0.334316,0.491514,0.153782,0.480183,0.479284,0.041777,0.411706,0.058419,0.556261,Bot
0.155172,0.519819,0.23999,0.54156,0.551413,0.179311,0.058764,0.366764,0.484641,Bot
0.326516,0.585258,0.077748,0.423859,0.503979,0.027678,0.014708,0.55335,0.392126,Bot
0.279546,0.549495,0.35999,0.426306,0.432807,0.172248,0.077244,0.110972,0.567621,Bot
0.2658,0.535086,0.111016,0.540472,0.492511,0.099362,0.372321,0.151501,0.520438,Bot
0.182301,0.553188,0.154217,0.588442,0.448826,0.170082,0.298054,0.195347,0.521442,Bot
0.209312,0.537985,0.144006,0.56202,0.460762,0.171302,0.322785,0.152595,0.530484,Bot
0.089241,0.654522,0.63145,0.591405,0.464617,0.066728,0.175134,0.037448,0.531988,Bot
0.294887,0.449197,0.16011,0.574021,0.500649,0.109227,0.077799,0.357977,0.612685,Bot
0.046189,0.577644,0.180203,0.493944,0.444688,0.222796,0.104107,0.446705,0.651136,Bot
0.124882,0.571163,0.239906,0.634013,0.457085,0.091422,0.006979,0.53681,0.537561,Bot
0.293651,0.48872,0.245209,0.382274,0.489726,0.207053,0.100399,0.153687,0.545826,Bot
0.092606,0.534913,0.14025,0.489556,0.477276,0.278409,0.072988,0.415748,0.533252,Bot
0.065584,0.526049,0.349017,0.476538,0.491729,0.396459,0.034053,0.154887,0.542669,Bot
0.08295,0.538441,0.353518,0.798512,0.461349,0.379084,0.024366,0.160082,0.477133,Bot
0.209312,0.537985,0.144006,0.56202,0.460762,0.171302,0.322785,0.152595,0.530484,Bot
0.101856,0.486399,0.627727,0.484949,0.496541,0.133241,0.050839,0.086338,0.500585,Bot
0.107597,0.584405,0.526207,0.532144,0.489359,0.044551,0.244356,0.077289,0.461769,Bot
0.095702,0.451087,0.480575,0.410018,0.547883,0.246844,0.105393,0.071485,0.572743,Bot
0.089107,0.367655,0.242135,0.514427,0.529101,0.473437,0.034943,0.160378,0.435337,Bot
0.415989,0.645295,0.079043,0.690154,0.396225,0.021622,0.454603,0.028743,0.487877,Bot
0.196703,0.565004,0.272708,0.683902,0.49678,0.086384,0.015399,0.428806,0.471067,Bot
0.812111,0.363452,0.009715,0.638516,0.439613,0.00705,0.126582,0.044543,0.774001,Bot
0.117277,0.508701,0.207972,0.568895,0.472326,0.254292,0.130738,0.289721,0.524491,Bot
0.157289,0.674125,0.159085,0.573788,0.497592,0.072573,0.528456,0.082596,0.448446,Bot
0.011412,0.482842,0.828734,0.599341,0.462286,0.065976,0.001193,0.092686,0.49762,Bot
0.100238,0.513499,0.096229,0.546384,0.449387,0.102575,0.013238,0.68772,0.557525,Bot
0.058325,0.581196,0.149156,0.68032,0.460783,0.538973,0.148012,0.105533,0.471601,Bot
0.192946,0.721287,0.164956,0.625844,0.400102,0.142407,0.282531,0.21716,0.605858,Bot
0.046969,0.634612,0.412924,0.576359,0.48044,0.474149,0.008563,0.057395,0.408285,Bot
0.809497,0.556367,0.007825,0.590466,0.47288,0.003216,0.159722,0.019741,0.47884,Bot
0.384194,0.619242,0.33025,0.542977,0.484384,0.08883,0.131377,0.065348,0.462974,Bot
0.500225,0.27299,0.021792,0.466344,0.434283,0.002095,0.46704,0.008848,0.685541,Bot
0.226167,0.458883,0.112487,0.565628,0.502266,0.132663,0.341542,0.187142,0.501003,Bot
0.221111,0.465362,0.376536,0.530173,0.461705,0.112215,0.15059,0.139549,0.533597,Bot
0.141407,0.407697,0.114239,0.551368,0.513785,0.277505,0.071072,0.395777,0.478615,Bot
0.058777,0.377864,0.187505,0.49164,0.52256,0.466067,0.00929,0.27836,0.521266,Bot
0.448874,0.54789,0.212841,0.575136,0.375989,0.029647,0.208344,0.100295,0.689479,Bot
0.102388,0.624699,0.048368,0.667918,0.443949,0.054214,0.025721,0.769309,0.401139,Bot
